ts,open,high,low,close,volume,hi24,signal,unrealized,equity,position
2025-09-25 00:15:00+00:00,113480.01,113480.01,113125.26,113131.0,150.61168,113722.3,0,0.0,1000.0,0
2025-09-25 00:30:00+00:00,113131.0,113295.0,113041.05,113193.73,124.97128,113722.3,0,0.0,1000.0,0
2025-09-25 00:45:00+00:00,113193.74,113257.0,112960.0,113062.35,195.95436,113682.46,0,0.0,1000.0,0
2025-09-25 01:00:00+00:00,113062.35,113369.98,112922.67,113269.0,173.97253,113682.46,0,0.0,1000.0,0
2025-09-25 01:15:00+00:00,113269.0,113306.25,113028.95,113079.98,142.93342,113647.58,0,0.0,1000.0,0
2025-09-25 01:30:00+00:00,113079.98,113079.99,112637.12,112700.0,432.74185,113647.58,0,0.0,1000.0,0
2025-09-25 01:45:00+00:00,112700.0,112817.9,112446.15,112661.24,389.64918,113647.58,0,0.0,1000.0,0
2025-09-25 02:00:00+00:00,112661.24,112908.0,112653.6,112669.56,197.88488,113647.58,0,0.0,1000.0,0
2025-09-25 02:15:00+00:00,112669.56,112793.58,112510.06,112734.99,166.69872,113647.58,0,0.0,1000.0,0
2025-09-25 02:30:00+00:00,112734.99,113179.94,112734.99,112914.25,139.83574,113647.58,0,0.0,1000.0,0
2025-09-25 02:45:00+00:00,112914.25,113041.31,112854.11,112907.38,65.46205,113647.58,0,0.0,1000.0,0
2025-09-25 03:00:00+00:00,112907.38,112907.39,112726.96,112743.61,51.74117,113647.58,0,0.0,1000.0,0
2025-09-25 03:15:00+00:00,112743.61,112784.0,112337.21,112364.74,244.10767,113647.58,0,0.0,1000.0,0
2025-09-25 03:30:00+00:00,112364.75,112544.0,112214.74,112437.7,287.69593,113647.58,0,0.0,1000.0,0
2025-09-25 03:45:00+00:00,112437.71,112612.96,112378.73,112546.21,189.80518,113647.58,0,0.0,1000.0,0
2025-09-25 04:00:00+00:00,112546.22,112614.43,112214.52,112279.96,166.63026,113647.58,0,0.0,1000.0,0
2025-09-25 04:15:00+00:00,112279.96,112300.0,111714.01,111942.8,499.1831,113639.02,0,0.0,1000.0,0
2025-09-25 04:30:00+00:00,111942.8,111942.81,111668.01,111898.98,276.29947,113511.84,0,0.0,1000.0,0
2025-09-25 04:45:00+00:00,111898.98,111922.03,111584.23,111735.66,395.44026,113510.23,0,0.0,1000.0,0
2025-09-25 05:00:00+00:00,111735.67,111916.92,111597.86,111848.01,275.89763,113510.23,0,0.0,1000.0,0
2025-09-25 05:15:00+00:00,111848.01,112040.0,111817.21,111981.99,167.68259,113510.23,0,0.0,1000.0,0
2025-09-25 05:30:00+00:00,111981.99,111982.0,111765.63,111777.79,160.4976,113510.23,0,0.0,1000.0,0
2025-09-25 05:45:00+00:00,111777.8,111814.12,111643.79,111749.91,101.46481,113510.23,0,0.0,1000.0,0
2025-09-25 06:00:00+00:00,111749.91,111797.01,111594.05,111594.05,102.4365,113510.23,0,0.0,1000.0,0
2025-09-25 06:15:00+00:00,111594.06,111843.3,111555.0,111699.98,115.59397,113480.01,0,0.0,1000.0,0
2025-09-25 06:30:00+00:00,111699.99,111800.0,111625.88,111625.88,64.86689,113369.98,0,0.0,1000.0,0
2025-09-25 06:45:00+00:00,111625.88,111668.0,111515.87,111533.26,89.06923,113369.98,0,0.0,1000.0,0
2025-09-25 07:00:00+00:00,111533.26,111728.0,111450.42,111608.78,191.29221,113369.98,0,0.0,1000.0,0
2025-09-25 07:15:00+00:00,111608.78,111875.0,111594.99,111860.41,142.54403,113306.25,0,0.0,1000.0,0
2025-09-25 07:30:00+00:00,111860.41,111883.23,111779.96,111831.37,98.1275,113179.94,0,0.0,1000.0,0
2025-09-25 07:45:00+00:00,111831.37,111848.0,111724.15,111766.72,83.18345,113179.94,0,0.0,1000.0,0
2025-09-25 08:00:00+00:00,111766.73,111980.87,111766.72,111980.86,163.05308,113179.94,0,0.0,1000.0,0
2025-09-25 08:15:00+00:00,111980.86,112031.18,111879.79,112031.17,102.64691,113179.94,0,0.0,1000.0,0
2025-09-25 08:30:00+00:00,112031.17,112031.18,111751.87,111767.3,159.62485,113179.94,0,0.0,1000.0,0
2025-09-25 08:45:00+00:00,111767.31,111802.77,111689.38,111727.21,112.58526,113041.31,0,0.0,1000.0,0
2025-09-25 09:00:00+00:00,111727.2,111891.26,111722.36,111891.26,104.08719,112907.39,0,0.0,1000.0,0
2025-09-25 09:15:00+00:00,111891.25,112246.46,111871.08,112079.77,264.56652,112784.0,0,0.0,1000.0,0
2025-09-25 09:30:00+00:00,112079.76,112135.69,111832.34,111832.34,138.57814,112614.43,0,0.0,1000.0,0
2025-09-25 09:45:00+00:00,111832.35,111832.35,111571.57,111571.58,264.56192,112614.43,0,0.0,1000.0,0
2025-09-25 10:00:00+00:00,111571.58,111693.46,111525.81,111678.53,126.86351,112614.43,0,0.0,1000.0,0
2025-09-25 10:15:00+00:00,111678.53,111854.12,111678.53,111761.56,92.27987,112300.0,0,0.0,1000.0,0
